Ref,Val,Package,PosX,PosY,Rot,Side
"C1"," ","CP_EIA-3528-12_Kemet-T",25.250000,-60.500000,0.000000,top
"C2","1uF/16V","C_0402_1005Metric",31.000000,-65.750000,180.000000,top
"C3","1uF/16V","C_0402_1005Metric",31.000000,-64.750000,180.000000,top
"C4","1uF/16V","C_0402_1005Metric",31.000000,-63.750000,0.000000,top
"C5","1uF/16V","C_0402_1005Metric",30.500000,-60.250000,-90.000000,top
"C6","1uF/16V","C_0402_1005Metric",32.250000,-70.000000,0.000000,top
"C7","1uF/16V","C_0402_1005Metric",32.250000,-71.000000,0.000000,top
"C8","0.1uF/16V","C_0402_1005Metric",31.500000,-60.250000,90.000000,top
"C9","0.1uF/16V","C_0402_1005Metric",35.000000,-74.750000,180.000000,top
"C10","0.1uF/16V","C_0402_1005Metric",44.000000,-65.500000,-90.000000,top
"C11","0.1uF/16V","C_0402_1005Metric",44.000000,-72.500000,-90.000000,top
"C12","0.1uF/16V","C_0402_1005Metric",35.750000,-63.250000,90.000000,top
"C13","0.1uF/16V","C_0402_1005Metric",37.250000,-63.250000,90.000000,top
"C14","0.1uF/16V","C_0402_1005Metric",35.500000,-110.500000,0.000000,top
"C15","0.1uF/16V","C_0402_1005Metric",57.500000,-110.500000,0.000000,top
"C16","0.1uF/16V","C_0402_1005Metric",76.500000,-110.500000,0.000000,top
"C17","0.1uF/16V","C_0402_1005Metric",95.480000,-110.500000,0.000000,top
"C18","0.1uF/16V","C_0402_1005Metric",114.500000,-110.500000,0.000000,top
"C19","0.1uF/16V","C_0402_1005Metric",133.500000,-110.500000,0.000000,top
"C20","0.1uF/16V","C_0402_1005Metric",150.750000,-108.900000,90.000000,top
"C21","0.1uF/16V","C_0402_1005Metric",160.250000,-108.900000,90.000000,top
"C22","0.1uF/16V","C_0402_1005Metric",169.750000,-108.900000,90.000000,top
"C23","0.1uF/16V","C_0402_1005Metric",190.500000,-110.500000,0.000000,top
"C24","0.1uF/16V","C_0402_1005Metric",209.500000,-110.500000,0.000000,top
"C25","0.1uF/16V","C_0402_1005Metric",228.500000,-110.500000,0.000000,top
"C26","0.1uF/16V","C_0402_1005Metric",247.500000,-110.500000,0.000000,top
"C27","0.1uF/16V","C_0402_1005Metric",263.500000,-107.000000,90.000000,top
"C28","0.1uF/16V","C_0402_1005Metric",25.000000,-92.500000,180.000000,top
"C29","0.1uF/16V","C_0402_1005Metric",47.000000,-92.500000,180.000000,top
"C30","0.1uF/16V","C_0402_1005Metric",66.000000,-92.500000,180.000000,top
"C31","0.1uF/16V","C_0402_1005Metric",85.000000,-92.500000,180.000000,top
"C32","0.1uF/16V","C_0402_1005Metric",104.000000,-92.500000,180.000000,top
"C33","0.1uF/16V","C_0402_1005Metric",123.500000,-92.500000,180.000000,top
"C34","0.1uF/16V","C_0402_1005Metric",142.500000,-92.500000,180.000000,top
"C35","0.1uF/16V","C_0402_1005Metric",161.500000,-92.500000,180.000000,top
"C36","0.1uF/16V","C_0402_1005Metric",180.500000,-92.500000,180.000000,top
"C37","0.1uF/16V","C_0402_1005Metric",199.500000,-92.500000,180.000000,top
"C38","0.1uF/16V","C_0402_1005Metric",218.500000,-92.500000,180.000000,top
"C39","0.1uF/16V","C_0402_1005Metric",237.500000,-92.500000,180.000000,top
"C40","0.1uF/16V","C_0402_1005Metric",256.500000,-92.500000,180.000000,top
"C41","0.1uF/16V","C_0402_1005Metric",56.500000,-72.000000,0.000000,top
"C42","0.1uF/16V","C_0402_1005Metric",75.500000,-72.000000,0.000000,top
"C43","0.1uF/16V","C_0402_1005Metric",94.500000,-72.000000,0.000000,top
"C44","0.1uF/16V","C_0402_1005Metric",113.500000,-72.000000,0.000000,top
"C45","0.1uF/16V","C_0402_1005Metric",132.500000,-72.000000,0.000000,top
"C46","0.1uF/16V","C_0402_1005Metric",151.500000,-72.000000,0.000000,top
"C47","0.1uF/16V","C_0402_1005Metric",170.500000,-72.000000,0.000000,top
"C48","0.1uF/16V","C_0402_1005Metric",189.500000,-72.000000,0.000000,top
"C49","0.1uF/16V","C_0402_1005Metric",208.500000,-72.000000,0.000000,top
"C50","0.1uF/16V","C_0402_1005Metric",227.500000,-72.000000,0.000000,top
"C51","0.1uF/16V","C_0402_1005Metric",246.500000,-72.000000,0.000000,top
"C52","0.1uF/16V","C_0402_1005Metric",257.000000,-74.000000,-90.000000,top
"C53","0.1uF/16V","C_0402_1005Metric",26.000000,-55.000000,-90.000000,top
"C54","0.1uF/16V","C_0402_1005Metric",47.500000,-54.500000,180.000000,top
"C55","0.1uF/16V","C_0402_1005Metric",66.500000,-54.500000,180.000000,top
"C56","0.1uF/16V","C_0402_1005Metric",85.500000,-54.500000,180.000000,top
"C57","0.1uF/16V","C_0402_1005Metric",104.500000,-54.500000,180.000000,top
"C58","0.1uF/16V","C_0402_1005Metric",123.500000,-54.500000,180.000000,top
"C59","0.1uF/16V","C_0402_1005Metric",142.500000,-54.500000,180.000000,top
"C60","0.1uF/16V","C_0402_1005Metric",161.500000,-54.500000,180.000000,top
"C61","0.1uF/16V","C_0402_1005Metric",180.500000,-54.500000,180.000000,top
"C62","0.1uF/16V","C_0402_1005Metric",199.500000,-54.500000,180.000000,top
"C63","0.1uF/16V","C_0402_1005Metric",218.500000,-54.500000,180.000000,top
"C64","0.1uF/16V","C_0402_1005Metric",237.500000,-54.500000,180.000000,top
